Site Name,Measure Names,Date Time,Measure Values
Confluence,"fChl, water, in situ, ug/l",7/24/2024 1:45:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/24/2024 1:30:00 PM,0.945
Confluence,"fChl, water, in situ, ug/l",7/24/2024 1:15:00 PM,0.91
Confluence,"fChl, water, in situ, ug/l",7/24/2024 1:00:00 PM,0.89
Confluence,"fChl, water, in situ, ug/l",7/24/2024 12:45:00 PM,0.85
Confluence,"fChl, water, in situ, ug/l",7/24/2024 12:30:00 PM,0.9
Confluence,"fChl, water, in situ, ug/l",7/24/2024 12:15:00 PM,0.86
Confluence,"fChl, water, in situ, ug/l",7/24/2024 12:00:00 PM,0.795
Confluence,"fChl, water, in situ, ug/l",7/24/2024 11:45:00 AM,0.815
Confluence,"fChl, water, in situ, ug/l",7/24/2024 11:30:00 AM,0.84
Confluence,"fChl, water, in situ, ug/l",7/24/2024 11:15:00 AM,0.84
Confluence,"fChl, water, in situ, ug/l",7/24/2024 11:00:00 AM,0.81
Confluence,"fChl, water, in situ, ug/l",7/24/2024 10:45:00 AM,0.86
Confluence,"fChl, water, in situ, ug/l",7/24/2024 10:30:00 AM,0.84
Confluence,"fChl, water, in situ, ug/l",7/24/2024 10:15:00 AM,0.77
Confluence,"fChl, water, in situ, ug/l",7/24/2024 10:00:00 AM,0.8
Confluence,"fChl, water, in situ, ug/l",7/24/2024 9:45:00 AM,0.76
Confluence,"fChl, water, in situ, ug/l",7/24/2024 9:30:00 AM,0.835
Confluence,"fChl, water, in situ, ug/l",7/24/2024 9:15:00 AM,0.88
Confluence,"fChl, water, in situ, ug/l",7/24/2024 9:00:00 AM,0.795
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:45:00 PM,1
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:30:00 PM,1.105
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:15:00 PM,1.11
Confluence,"fChl, water, in situ, ug/l",7/23/2024 7:00:00 PM,1.02
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:45:00 PM,0.97
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:30:00 PM,0.995
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:15:00 PM,1.02
Confluence,"fChl, water, in situ, ug/l",7/23/2024 6:00:00 PM,1.055
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:45:00 PM,0.99
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:30:00 PM,0.89
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:15:00 PM,0.965
Confluence,"fChl, water, in situ, ug/l",7/23/2024 5:00:00 PM,0.98
